Periodo,Provincia,Total,Tecnologias,Porcentaje de Conexiones
2022-1,Buenos Aires,4555424.0,ADSL,0.08606114381449455
2022-1,Capital Federal,1417541.0,ADSL,0.07216017032311588
2022-1,Catamarca,62378.0,ADSL,0.2273397672256244
2022-1,Chaco,144119.0,ADSL,0.2247517676364671
2022-1,Chubut,171628.0,ADSL,0.2571433565618664
2022-1,Cordoba,1003803.0,ADSL,0.1948689135218763
2022-1,Corrientes,142578.0,ADSL,0.2837885227734994
2022-1,Entre Rios,267926.0,ADSL,0.25066249636093546
2022-1,Formosa,54548.0,ADSL,0.3005976387768571
2022-1,Jujuy,116509.0,ADSL,0.1828785759040074
2022-1,La Pampa,109732.0,ADSL,0.07293223489957351
2022-1,La Rioja,84303.0,ADSL,0.1079795499567038
2022-1,Mendoza,275185.0,ADSL,0.17974816941330377
2022-1,Misiones,171508.0,ADSL,0.22825174335891038
2022-1,Neuquen,149679.0,ADSL,0.1900266570460786
2022-1,Rio Negro,157374.0,ADSL,0.24566955151422726
2022-1,Salta,197515.0,ADSL,0.22638280636913652
2022-1,San Juan,88178.0,ADSL,0.3860146521808161
2022-1,San Luis,119844.0,ADSL,0.066644971796669
2022-1,Santa Cruz,49102.0,ADSL,0.214594110219543
2022-1,Santa Fe,870479.0,ADSL,0.24525117779980907
2022-1,Santiago Del Estero,116461.0,ADSL,0.15557139299851452
2022-1,Tierra Del Fuego,52611.0,ADSL,0.2476858451654597
2022-1,Tucuman,245584.0,ADSL,0.3767835038113232
2021-1,Buenos Aires,4060002.0,ADSL,0.1550932733530673
2021-1,Capital Federal,1379673.0,ADSL,0.11582817087817186
2021-1,Catamarca,51968.0,ADSL,0.5063885467980296
2021-1,Chaco,139770.0,ADSL,0.3091793661014524
2021-1,Chubut,132340.0,ADSL,0.3438189511863382
2021-1,Cordoba,910881.0,ADSL,0.2858221875305336
2021-1,Corrientes,126625.0,ADSL,0.3882329713721619
2021-1,Entre Rios,251963.0,ADSL,0.3321440052706151
2021-1,Formosa,50686.0,ADSL,0.4076668113483013
2021-1,Jujuy,110456.0,ADSL,0.29200767726515536
2021-1,La Pampa,97105.0,ADSL,0.09212707893517326
2021-1,La Rioja,52628.0,ADSL,0.3299194345215475
2021-1,Mendoza,218923.0,ADSL,0.41952650018499654
2021-1,Misiones,149387.0,ADSL,0.32326775422225495
2021-1,Neuquen,133235.0,ADSL,0.2268397943483319
2021-1,Rio Negro,141168.0,ADSL,0.34552448146888814
2021-1,Salta,187574.0,ADSL,0.29198076492477637
2021-1,San Juan,78267.0,ADSL,0.5119910051490411
2021-1,San Luis,119154.0,ADSL,0.0706396763851822
2021-1,Santa Cruz,46065.0,ADSL,0.26803429935960055
2021-1,Santa Fe,826127.0,ADSL,0.3353140618815267
2021-1,Santiago Del Estero,111641.0,ADSL,0.2370813589989341
2021-1,Tierra Del Fuego,40422.0,ADSL,0.3179704121517985
2021-1,Tucuman,231912.0,ADSL,0.6347192038359377
2020-1,Buenos Aires,3708051.0,ADSL,0.18156087928671963
2020-1,Capital Federal,1353494.0,ADSL,0.13630943321507152
2020-1,Catamarca,39635.0,ADSL,0.5536773054118834
2020-1,Chaco,120277.0,ADSL,0.3854103444548833
2020-1,Chubut,96738.0,ADSL,0.47306125824391654
2020-1,Cordoba,811099.0,ADSL,0.3528151310752448
2020-1,Corrientes,113970.0,ADSL,0.4485917346670176
2020-1,Entre Rios,231846.0,ADSL,0.38977597198140146
2020-1,Formosa,46434.0,ADSL,0.4537192574406685
2020-1,Jujuy,91665.0,ADSL,0.34981726940489827
2020-1,La Pampa,89226.0,ADSL,0.0958577096362047
2020-1,La Rioja,48340.0,ADSL,0.2705006206040546
2020-1,Mendoza,183452.0,ADSL,0.5012482829295947
2020-1,Misiones,133552.0,ADSL,0.3853031029112256
2020-1,Neuquen,121727.0,ADSL,0.2407436312403986
2020-1,Rio Negro,126200.0,ADSL,0.37841521394611727
2020-1,Salta,170381.0,ADSL,0.35465222061145313
2020-1,San Juan,64231.0,ADSL,0.6241845837679625
2020-1,San Luis,110552.0,ADSL,0.07508683696360084
2020-1,Santa Cruz,38822.0,ADSL,0.3308690948431302
2020-1,Santa Fe,771118.0,ADSL,0.39211378803244124
2020-1,Santiago Del Estero,102755.0,ADSL,0.24032893776458567
2020-1,Tierra Del Fuego,38794.0,ADSL,0.33133989792235913
2020-1,Tucuman,200067.0,ADSL,0.7156802471172158
2019-1,Buenos Aires,3746667.0,ADSL,0.3481779939343422
2019-1,Capital Federal,1399600.0,ADSL,0.2345284366961989
2019-1,Catamarca,33622.0,ADSL,0.8004282909999405
2019-1,Chaco,103677.0,ADSL,0.515148007754854
2019-1,Chubut,79778.0,ADSL,0.4675725137255885
2019-1,Cordoba,744115.0,ADSL,0.43443822527431913
2019-1,Corrientes,102487.0,ADSL,0.5448691053499468
2019-1,Entre Rios,232447.0,ADSL,0.43450334915055905
2019-1,Formosa,45211.0,ADSL,0.49921479286014464
2019-1,Jujuy,90147.0,ADSL,0.3688198165219031
2019-1,La Pampa,89160.0,ADSL,0.21121579183490355
2019-1,La Rioja,51656.0,ADSL,0.3168460585411182
2019-1,Mendoza,206298.0,ADSL,0.7199488119128639
2019-1,Misiones,122720.0,ADSL,0.44734354628422424
2019-1,Neuquen,114377.0,ADSL,0.3562516939594499
2019-1,Rio Negro,121088.0,ADSL,0.5646884910147991
