Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,DIAL UP,OTROS,Total general,TELEFONIAFIJA,3G,4G,Latitud,Longitud
BUENOS AIRES,25 de Mayo,25 de Mayo,23408.0,914.0,4704.0,5.0,975.0,0.0,664.0,0.0,0.0,7262.0,SI,SI,SI,-35.4339385892588,-60.1731209454056
BUENOS AIRES,25 de Mayo,Del Valle,899.0,181.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,192.0,--,SI,SI,-35.8973453887603,-60.7316089512944
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,547.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,181.0,--,--,--,-35.1643973648093,-60.0813577815069
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,4524.0,0.0,782.0,0.0,0.0,0.0,327.0,0.0,18.0,1127.0,SI,SI,SI,-35.2727788695321,-59.7719327250509
BUENOS AIRES,25 de Mayo,Lucas Monteverde,63.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,--,--,--,-35.4838272164734,-59.9880647932831
BUENOS AIRES,25 de Mayo,Ernestina,145.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,--,--,--,-35.2702340519789,-59.5575034078873
BUENOS AIRES,25 de Mayo,Pedernales,1432.0,568.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,575.0,--,--,SI,-35.2666085074294,-59.6306574695384
BUENOS AIRES,9 de Julio,12 de Octubre,219.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,SI,--,--,-35.607730780146,-60.9182929927645
BUENOS AIRES,9 de Julio,9 de Julio,36494.0,4389.0,3329.0,5892.0,1.0,0.0,831.0,83.0,1.0,14526.0,SI,SI,SI,-35.4447435053964,-60.8843433362719
BUENOS AIRES,9 de Julio,Dudignac,2670.0,0.0,0.0,0.0,0.0,0.0,463.0,1.0,0.0,464.0,SI,SI,SI,-35.6511928511123,-60.7098962799094
BUENOS AIRES,9 de Julio,Patricios,745.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,SI,SI,--,-35.4395526972374,-60.7174384712323
BUENOS AIRES,Adolfo Alsina,Carhué,9660.0,785.0,0.0,1419.0,0.0,0.0,283.0,1.0,1.0,2489.0,SI,SI,SI,-37.1774801030509,-62.7578962604015
BUENOS AIRES,Adolfo Alsina,Maza,1748.0,0.0,0.0,390.0,2.0,0.0,14.0,0.0,0.0,406.0,SI,SI,SI,-36.7999468137731,-63.3385151506224
BUENOS AIRES,Adolfo Alsina,Rivera,3217.0,0.0,0.0,1202.0,0.0,0.0,0.0,0.0,0.0,1202.0,SI,--,SI,-37.1583546113813,-63.2442194943605
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,563.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,160.0,SI,--,SI,-37.4486186469627,-63.117609405389
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,1625.0,0.0,0.0,630.0,0.0,0.0,59.0,0.0,0.0,689.0,SI,SI,SI,-37.9635021758562,-60.415659383962
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,212.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,SI,--,--,-37.8233871716044,-60.484639770555
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,43.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,SI,SI,SI,-38.1766861391835,-60.1708487303777
BUENOS AIRES,Alberti,Mechita,412.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,--,SI,SI,-35.068013673391,-60.4025971632697
BUENOS AIRES,Almirante Brown,Adrogué,30271.0,304.0,9200.0,11037.0,1.0,0.0,26.0,60.0,2.0,20630.0,SI,SI,SI,-34.8015580737331,-58.3914677191541
BUENOS AIRES,Almirante Brown,Burzaco,92223.0,207.0,15809.0,10987.0,2.0,0.0,292.0,36.0,6.0,27339.0,SI,SI,SI,-34.8315415891783,-58.3986874871405
BUENOS AIRES,Almirante Brown,Claypole,44098.0,8.0,7461.0,4077.0,0.0,0.0,2.0,3.0,13.0,11564.0,SI,SI,SI,-34.8044759080477,-58.3447825531042
BUENOS AIRES,Almirante Brown,Don Orione,46366.0,0.0,4988.0,0.0,0.0,0.0,1.0,0.0,0.0,4989.0,--,SI,SI,-34.8210751643113,-58.3447457989957
