Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Banda ancha fija,Dial up,Accesos por cada 100 hogares,Mbps (Media de bajada)
2022,1,Buenos Aires,392045.0,2728865.0,1242121.0,125521.0,66872.0,4555424.0,4549131.0,6293.0,7608.0,63.0
2022,1,Capital Federal,102290.0,1217225.0,62308.0,5784.0,29934.0,1417541.0,1415378.0,2163.0,1118.0,88.0
2022,1,Catamarca,14181.0,15517.0,29118.0,1328.0,2234.0,62378.0,62377.0,1.0,5821.0,51.0
2022,1,Chaco,32391.0,64546.0,36662.0,8164.0,2356.0,144119.0,144114.0,5.0,4406.0,46.0
2022,1,Chubut,44133.0,66667.0,9184.0,30592.0,21052.0,171628.0,170701.0,927.0,8805.0,13.0
2022,1,Córdoba,195610.0,501799.0,235838.0,60843.0,9713.0,1003803.0,1003729.0,74.0,8576.0,50.0
2022,1,Corrientes,40462.0,79093.0,10875.0,6774.0,5374.0,142578.0,142574.0,4.0,4764.0,38.0
2022,1,Entre Ríos,67159.0,138986.0,23091.0,26098.0,12592.0,267926.0,267904.0,22.0,637.0,36.0
2022,1,Formosa,16397.0,15927.0,5146.0,16876.0,202.0,54548.0,54548.0,0.0,3496.0,30.0
2022,1,Jujuy,21307.0,60616.0,25949.0,4662.0,3975.0,116509.0,116509.0,0.0,5806.0,28.0
2022,1,La Pampa,8003.0,58978.0,21739.0,19903.0,1109.0,109732.0,109560.0,172.0,9166.0,15.0
2022,1,La Rioja,9103.0,59228.0,9546.0,6395.0,31.0,84303.0,84299.0,4.0,7877.0,41.0
2022,1,Mendoza,49464.0,74145.0,123228.0,26969.0,1379.0,275185.0,274399.0,786.0,4874.0,26.0
2022,1,Misiones,39147.0,91752.0,25178.0,7807.0,7624.0,171508.0,171508.0,0.0,4904.0,42.0
2022,1,Neuquén,28443.0,73200.0,24193.0,23098.0,745.0,149679.0,149208.0,471.0,7417.0,43.0
2022,1,Río Negro,38662.0,45366.0,38037.0,16815.0,18494.0,157374.0,156821.0,553.0,6704.0,31.0
2022,1,Salta,44714.0,98667.0,40994.0,5950.0,7190.0,197515.0,197510.0,5.0,5611.0,37.0
2022,1,San Juan,34038.0,14449.0,11294.0,20723.0,7674.0,88178.0,87888.0,290.0,4355.0,12.0
2022,1,San Luis,7987.0,11296.0,31.0,71809.0,28721.0,119844.0,119659.0,185.0,8072.0,21.0
2022,1,Santa Cruz,10537.0,23420.0,10766.0,3974.0,405.0,49102.0,48898.0,204.0,4334.0,11.0
2022,1,Santa Fe,213486.0,444609.0,146552.0,45261.0,20571.0,870479.0,870364.0,115.0,773.0,39.0
2022,1,Santiago Del Estero,18118.0,87979.0,1093.0,6349.0,2922.0,116461.0,116459.0,2.0,4717.0,14.0
2022,1,Tierra Del Fuego,13031.0,38700.0,416.0,124.0,340.0,52611.0,52298.0,313.0,9829.0,11.0
2022,1,Tucumán,92532.0,62396.0,86174.0,3995.0,487.0,245584.0,245554.0,30.0,5739.0,47.0
2021,4,Buenos Aires,426325.0,2706506.0,1176024.0,126887.0,73415.0,4509157.0,4502772.0,6385.0,7566.0,60.0
2021,4,Capital Federal,111360.0,1205128.0,60005.0,5679.0,29947.0,1412119.0,1409935.0,2184.0,11127.0,83.0
2021,4,Catamarca,16385.0,13858.0,25100.0,1512.0,2235.0,59090.0,59089.0,1.0,5525.0,46.0
2021,4,Chaco,35548.0,63145.0,34688.0,8005.0,2359.0,143745.0,143740.0,5.0,4405.0,42.0
2021,4,Chubut,46361.0,57412.0,9655.0,28041.0,18839.0,160308.0,159364.0,944.0,8257.0,9.0
2021,4,Córdoba,212011.0,487489.0,217214.0,61277.0,8779.0,986770.0,986693.0,77.0,8451.0,46.0
2021,4,Corrientes,42523.0,71183.0,10138.0,6778.0,5290.0,135912.0,135908.0,4.0,4551.0,36.0
2021,4,Entre Ríos,70459.0,133387.0,23452.0,25022.0,12726.0,265046.0,265024.0,22.0,6316.0,33.0
2021,4,Formosa,17211.0,15111.0,5151.0,16018.0,172.0,53663.0,53663.0,0.0,3445.0,29.0
2021,4,Jujuy,22330.0,60511.0,24156.0,2927.0,3991.0,113915.0,113915.0,0.0,5692.0,27.0
2021,4,La Pampa,8175.0,58000.0,20192.0,19286.0,1354.0,107007.0,106834.0,173.0,8957.0,14.0
2021,4,La Rioja,10387.0,56651.0,9446.0,6613.0,31.0,83128.0,83124.0,4.0,7792.0,40.0
2021,4,Mendoza,59842.0,71553.0,109667.0,24666.0,1859.0,267587.0,266783.0,804.0,4751.0,22.0
2021,4,Misiones,41778.0,92068.0,22035.0,7649.0,7602.0,171132.0,171132.0,0.0,4906.0,39.0
2021,4,Neuquén,29175.0,72761.0,23253.0,21531.0,746.0,147466.0,146989.0,477.0,733.0,40.0
2021,4,Río Negro,42037.0,44495.0,32212.0,16558.0,18451.0,153753.0,153189.0,564.0,6569.0,27.0
2021,4,Salta,46972.0,99808.0,39555.0,5882.0,7188.0,199405.0,199399.0,6.0,5681.0,34.0
2021,4,San Juan,35868.0,13102.0,11072.0,11423.0,8493.0,79958.0,79667.0,291.0,3959.0,11.0
2021,4,San Luis,8472.0,11064.0,30.0,70560.0,28723.0,118849.0,118662.0,187.0,803.0,21.0
2021,4,Santa Cruz,10790.0,22902.0,10031.0,4346.0,417.0,48486.0,48276.0,210.0,4305.0,9.0
2021,4,Santa Fe,233427.0,444373.0,128856.0,43556.0,16229.0,866441.0,866265.0,176.0,7709.0,36.0
2021,4,Santiago Del Estero,19032.0,86563.0,1088.0,6256.0,2922.0,115861.0,115859.0,2.0,4705.0,14.0
2021,4,Tierra Del Fuego,13317.0,38148.0,426.0,124.0,342.0,52357.0,52042.0,315.0,984.0,11.0
2021,4,Tucumán,97830.0,59022.0,78790.0,2511.0,486.0,238639.0,238609.0,30.0,5593.0,45.0
2021,3,Buenos Aires,585729.0,2595485.0,885613.0,120228.0,64554.0,4251609.0,4246425.0,5184.0,7168.0,56.0
2021,3,Capital Federal,142902.0,1192107.0,42966.0,6059.0,29371.0,1413405.0,1411797.0,1608.0,11127.0,78.0
2021,3,Catamarca,18413.0,11709.0,22331.0,1568.0,2233.0,56254.0,56253.0,1.0,5271.0,43.0
2021,3,Chaco,38258.0,63659.0,27583.0,8018.0,2353.0,139871.0,139868.0,3.0,4296.0,39.0
2021,3,Chubut,49269.0,55794.0,8946.0,23376.0,18681.0,156066.0,155266.0,800.0,8071.0,8.0
2021,3,Córdoba,229275.0,477223.0,167495.0,57617.0,15178.0,946788.0,946726.0,62.0,8128.0,42.0
2021,3,Corrientes,44805.0,69403.0,7542.0,6766.0,5303.0,133819.0,133816.0,3.0,449.0,32.0
2021,3,Entre Ríos,74443.0,128752.0,20485.0,23500.0,13195.0,260375.0,260360.0,15.0,6218.0,30.0
2021,3,Formosa,18093.0,14111.0,4730.0,15690.0,171.0,52795.0,52795.0,0.0,3396.0,27.0
2021,3,Jujuy,23554.0,60758.0,19926.0,2952.0,3968.0,111158.0,111158.0,0.0,5569.0,26.0
2021,3,La Pampa,9015.0,57881.0,17817.0,14479.0,1295.0,100487.0,100371.0,116.0,8428.0,13.0
2021,3,La Rioja,11329.0,54744.0,9444.0,6613.0,30.0,82160.0,82157.0,3.0,7726.0,39.0
2021,3,Mendoza,91474.0,71247.0,70579.0,21811.0,828.0,255939.0,255320.0,619.0,4555.0,13.0
2021,3,Misiones,43230.0,89469.0,10969.0,7198.0,7662.0,158528.0,158528.0,0.0,4557.0,31.0
2021,3,Neuquén,29650.0,73794.0,16455.0,19270.0,640.0,139809.0,139436.0,373.0,6971.0,38.0
2021,3,Río Negro,47934.0,44519.0,18725.0,15031.0,18376.0,144585.0,144084.0,501.0,6197.0,25.0
2021,3,Salta,49212.0,98318.0,36126.0,5724.0,6453.0,195833.0,195831.0,2.0,5596.0,31.0
2021,3,San Juan,40072.0,12922.0,6670.0,11372.0,8447.0,79483.0,79227.0,256.0,3946.0,7.0
2021,3,San Luis,8417.0,11884.0,27.0,68856.0,28680.0,117864.0,117716.0,148.0,7987.0,22.0
2021,3,Santa Cruz,12347.0,22961.0,6328.0,4269.0,3071.0,48976.0,48779.0,197.0,4375.0,8.0
2021,3,Santa Fe,245929.0,443156.0,93412.0,43447.0,15640.0,841584.0,841433.0,151.0,7502.0,33.0
2021,3,Santiago Del Estero,19939.0,85535.0,909.0,6147.0,2928.0,115458.0,115457.0,1.0,47.0,13.0
2021,3,Tierra Del Fuego,12853.0,36958.0,6.0,16.0,390.0,50223.0,49934.0,289.0,9495.0,10.0
2021,3,Tucumán,104489.0,53868.0,70964.0,2408.0,743.0,232472.0,232447.0,25.0,5464.0,42.0
2021,2,Buenos Aires,603255.0,2503830.0,854173.0,113546.0,57547.0,4132351.0,4127167.0,5184.0,70.0,53.0
2021,2,Capital Federal,148989.0,1175097.0,41318.0,5580.0,29371.0,1400355.0,1398747.0,1608.0,11014.0,73.0
2021,2,Catamarca,20305.0,9426.0,22331.0,1449.0,2233.0,55744.0,55743.0,1.0,5234.0,42.0
2021,2,Chaco,39826.0,62948.0,27584.0,8018.0,2353.0,140729.0,140726.0,3.0,4333.0,37.0
2021,2,Chubut,49271.0,41497.0,6081.0,23682.0,18706.0,139237.0,138412.0,825.0,7229.0,8.0
2021,2,Córdoba,239780.0,467782.0,151855.0,55944.0,15519.0,930880.0,930818.0,62.0,8012.0,40.0
2021,2,Corrientes,46648.0,67262.0,3731.0,6557.0,5303.0,129501.0,129498.0,3.0,4354.0,30.0
2021,2,Entre Ríos,77836.0,124957.0,17856.0,23786.0,13197.0,257632.0,257617.0,15.0,6166.0,28.0
2021,2,Formosa,19571.0,12509.0,3610.0,15690.0,171.0,51551.0,51551.0,0.0,3323.0,24.0
2021,2,Jujuy,24738.0,60800.0,19611.0,2731.0,3968.0,111848.0,111848.0,0.0,5618.0,26.0
2021,2,La Pampa,9017.0,57014.0,17132.0,13209.0,1295.0,97667.0,97551.0,116.0,8208.0,12.0
2021,2,La Rioja,11627.0,54255.0,9445.0,6245.0,30.0,81602.0,81599.0,3.0,7698.0,39.0
2021,2,Mendoza,91503.0,70834.0,44696.0,21811.0,827.0,229671.0,229052.0,619.0,4097.0,13.0
2021,2,Misiones,44960.0,87861.0,10376.0,5317.0,7662.0,156176.0,156176.0,0.0,4501.0,29.0
2021,2,Neuquén,30083.0,72690.0,15619.0,19218.0,640.0,138250.0,137877.0,373.0,6914.0,36.0
2021,2,Río Negro,48189.0,43761.0,18727.0,15031.0,18376.0,144084.0,143583.0,501.0,6194.0,24.0
2021,2,Salta,51396.0,96016.0,32050.0,5724.0,6453.0,191639.0,191637.0,2.0,5493.0,29.0
2021,2,San Juan,40072.0,12369.0,6673.0,11372.0,8447.0,78933.0,78677.0,256.0,3928.0,7.0
2021,2,San Luis,8417.0,11308.0,28.0,66860.0,36205.0,122818.0,122670.0,148.0,8348.0,22.0
2021,2,Santa Cruz,12347.0,22967.0,6328.0,4269.0,3071.0,48982.0,48785.0,197.0,4401.0,8.0
2021,2,Santa Fe,256741.0,431915.0,90424.0,43997.0,17523.0,840600.0,840449.0,151.0,7507.0,31.0
2021,2,Santiago Del Estero,20734.0,83770.0,909.0,5081.0,3596.0,114090.0,114089.0,1.0,4656.0,13.0
2021,2,Tierra Del Fuego,12853.0,22504.0,6.0,14.0,316.0,35693.0,35404.0,289.0,6789.0,9.0
2021,2,Tucumán,110429.0,48359.0,71683.0,1837.0,743.0,233051.0,233026.0,25.0,5493.0,40.0
2021,1,Buenos Aires,629679.0,2452056.0,821597.0,98806.0,57864.0,4060002.0,4054936.0,5066.0,6911.0,51.0
2021,1,Capital Federal,159805.0,1145093.0,39980.0,5559.0,29236.0,1379673.0,1378283.0,1390.0,10842.0,68.0
2021,1,Catamarca,26316.0,4409.0,18688.0,322.0,2233.0,51968.0,51967.0,1.0,489.0,40.0
2021,1,Chaco,43214.0,61251.0,25426.0,8004.0,1875.0,139770.0,139767.0,3.0,4314.0,34.0
2021,1,Chubut,45501.0,40960.0,3444.0,23723.0,18712.0,132340.0,131515.0,825.0,6899.0,8.0
2021,1,Córdoba,260350.0,444695.0,134634.0,54137.0,17065.0,910881.0,910826.0,55.0,7859.0,36.0
2021,1,Corrientes,49160.0,62876.0,3337.0,5949.0,5303.0,126625.0,126622.0,3.0,4266.0,26.0
2021,1,Entre Ríos,83688.0,118424.0,16846.0,20836.0,12169.0,251963.0,251950.0,13.0,6044.0,24.0
2021,1,Formosa,20663.0,11412.0,2562.0,15669.0,380.0,50686.0,50686.0,0.0,3273.0,21.0
2021,1,Jujuy,32254.0,54324.0,17322.0,2677.0,3879.0,110456.0,110456.0,0.0,5563.0,27.0
2021,1,La Pampa,8946.0,58711.0,15779.0,12369.0,1300.0,97105.0,96989.0,116.0,8178.0,11.0
2021,1,La Rioja,17363.0,34984.0,1.0,250.0,30.0,52628.0,52625.0,3.0,4981.0,13.0
2021,1,Mendoza,91844.0,69295.0,38619.0,18332.0,833.0,218923.0,218308.0,615.0,3915.0,13.0
2021,1,Misiones,48292.0,82339.0,7064.0,4796.0,6896.0,149387.0,149387.0,0.0,4317.0,25.0
2021,1,Neuquén,30223.0,70457.0,14171.0,17752.0,632.0,133235.0,132862.0,373.0,6684.0,34.0
2021,1,Río Negro,48777.0,42192.0,17828.0,13994.0,18377.0,141168.0,140667.0,501.0,6088.0,22.0
2021,1,Salta,54768.0,89187.0,31498.0,5669.0,6452.0,187574.0,187572.0,2.0,5393.0,27.0
2021,1,San Juan,40072.0,11589.0,6671.0,11482.0,8453.0,78267.0,78011.0,256.0,3906.0,7.0
2021,1,San Luis,8417.0,10678.0,28.0,63826.0,36205.0,119154.0,119006.0,148.0,8124.0,22.0
