Año,Trimestre,Provincia,Accesos telefonía fija (total)
2022,1,Buenos Aires,3340707.0
2022,1,Capital Federal,1508031.0
2022,1,Catamarca,30167.0
2022,1,Chaco,84847.0
2022,1,Chubut,72602.0
2022,1,Córdoba,579744.0
2022,1,Corrientes,88953.0
2022,1,Entre Ríos,189649.0
2022,1,Formosa,33824.0
2022,1,Jujuy,48709.0
2022,1,La Pampa,72052.0
2022,1,La Rioja,27504.0
2022,1,Mendoza,196157.0
2022,1,Misiones,91333.0
2022,1,Neuquén,74114.0
2022,1,Río Negro,83067.0
2022,1,Salta,109105.0
2022,1,San Juan,74775.0
2022,1,San Luis,34398.0
2022,1,Santa Cruz,26956.0
2022,1,Santa Fe,629111.0
2022,1,Santiago del Estero,67522.0
2022,1,Tierra del Fuego,21573.0
2022,1,Tucumán,185032.0
2021,4,Buenos Aires,3313370.0
2021,4,Capital Federal,1439097.0
2021,4,Catamarca,29635.0
2021,4,Chaco,90829.0
2021,4,Chubut,68209.0
2021,4,Córdoba,583715.0
2021,4,Corrientes,97971.0
2021,4,Entre Ríos,207536.0
2021,4,Formosa,36411.0
2021,4,Jujuy,44258.0
2021,4,La Pampa,71751.0
2021,4,La Rioja,26765.0
2021,4,Mendoza,204522.0
2021,4,Misiones,98622.0
2021,4,Neuquén,72616.0
2021,4,Río Negro,86287.0
2021,4,Salta,120291.0
2021,4,San Juan,66631.0
2021,4,San Luis,33020.0
2021,4,Santa Cruz,27740.0
2021,4,Santa Fe,655796.0
2021,4,Santiago del Estero,66649.0
2021,4,Tierra del Fuego,18937.0
2021,4,Tucumán,165702.0
2021,3,Buenos Aires,3164518.0
2021,3,Capital Federal,1367485.0
2021,3,Catamarca,24683.0
2021,3,Chaco,73770.0
2021,3,Chubut,73086.0
2021,3,Córdoba,484017.0
2021,3,Corrientes,78053.0
2021,3,Entre Ríos,164023.0
2021,3,Formosa,30471.0
2021,3,Jujuy,35160.0
2021,3,La Pampa,71728.0
2021,3,La Rioja,21614.0
2021,3,Mendoza,196028.0
2021,3,Misiones,78868.0
2021,3,Neuquén,74203.0
2021,3,Río Negro,83724.0
2021,3,Salta,93818.0
2021,3,San Juan,74837.0
2021,3,San Luis,34431.0
2021,3,Santa Cruz,26961.0
2021,3,Santa Fe,539814.0
2021,3,Santiago del Estero,57376.0
2021,3,Tierra del Fuego,21573.0
2021,3,Tucumán,133062.0
2021,2,Buenos Aires,3313370.0
2021,2,Capital Federal,1439097.0
2021,2,Catamarca,29635.0
2021,2,Chaco,90829.0
2021,2,Chubut,68209.0
2021,2,Córdoba,583715.0
2021,2,Corrientes,97971.0
2021,2,Entre Ríos,207536.0
2021,2,Formosa,36411.0
2021,2,Jujuy,44258.0
2021,2,La Pampa,71751.0
2021,2,La Rioja,26765.0
2021,2,Mendoza,204522.0
2021,2,Misiones,98622.0
2021,2,Neuquén,72616.0
2021,2,Río Negro,86287.0
2021,2,Salta,120291.0
2021,2,San Juan,66631.0
2021,2,San Luis,33020.0
2021,2,Santa Cruz,27740.0
2021,2,Santa Fe,655796.0
2021,2,Santiago del Estero,66649.0
2021,2,Tierra del Fuego,18937.0
2021,2,Tucumán,165702.0
2021,1,Buenos Aires,3203761.0
2021,1,Capital Federal,1395627.0
2021,1,Catamarca,26597.0
2021,1,Chaco,75834.0
2021,1,Chubut,73068.0
2021,1,Córdoba,523748.0
2021,1,Corrientes,78850.0
2021,1,Entre Ríos,168446.0
2021,1,Formosa,31265.0
2021,1,Jujuy,42953.0
2021,1,La Pampa,71152.0
2021,1,La Rioja,24254.0
2021,1,Mendoza,196315.0
2021,1,Misiones,82076.0
2021,1,Neuquén,74404.0
2021,1,Río Negro,82669.0
2021,1,Salta,96214.0
2021,1,San Juan,74837.0
2021,1,San Luis,34431.0
2021,1,Santa Cruz,26930.0
2021,1,Santa Fe,570118.0
2021,1,Santiago del Estero,62157.0
2021,1,Tierra del Fuego,21573.0
2021,1,Tucumán,163185.0
2020,4,Buenos Aires,3232457.0
2020,4,Capital Federal,1423882.0
2020,4,Catamarca,33525.0
2020,4,Chaco,81113.0
2020,4,Chubut,73019.0
2020,4,Córdoba,535102.0
2020,4,Corrientes,85319.0
2020,4,Entre Ríos,178988.0
2020,4,Formosa,34057.0
2020,4,Jujuy,45686.0
2020,4,La Pampa,70628.0
2020,4,La Rioja,29306.0
2020,4,Mendoza,196388.0
2020,4,Misiones,85762.0
2020,4,Neuquén,74546.0
2020,4,Río Negro,84513.0
2020,4,Salta,101610.0
2020,4,San Juan,74837.0
2020,4,San Luis,34431.0
2020,4,Santa Cruz,27239.0
2020,4,Santa Fe,592374.0
2020,4,Santiago del Estero,66338.0
2020,4,Tierra del Fuego,21573.0
2020,4,Tucumán,181343.0
2020,3,Buenos Aires,3233324.0
2020,3,Capital Federal,1433000.0
2020,3,Catamarca,33596.0
2020,3,Chaco,82542.0
2020,3,Chubut,72950.0
2020,3,Córdoba,549383.0
2020,3,Corrientes,86349.0
2020,3,Entre Ríos,181304.0
2020,3,Formosa,34864.0
2020,3,Jujuy,46331.0
2020,3,La Pampa,70536.0
2020,3,La Rioja,29404.0
2020,3,Mendoza,196383.0
2020,3,Misiones,88884.0
2020,3,Neuquén,74481.0
2020,3,Río Negro,85239.0
2020,3,Salta,103159.0
2020,3,San Juan,74844.0
2020,3,San Luis,34436.0
2020,3,Santa Cruz,27279.0
2020,3,Santa Fe,624379.0
2020,3,Santiago del Estero,66338.0
2020,3,Tierra del Fuego,21573.0
2020,3,Tucumán,181967.0
2020,2,Buenos Aires,3232457.0
2020,2,Capital Federal,1423882.0
2020,2,Catamarca,33525.0
2020,2,Chaco,81113.0
2020,2,Chubut,73019.0
2020,2,Córdoba,535102.0
2020,2,Corrientes,85319.0
2020,2,Entre Ríos,178988.0
2020,2,Formosa,34057.0
2020,2,Jujuy,45686.0
2020,2,La Pampa,70628.0
2020,2,La Rioja,29306.0
2020,2,Mendoza,196388.0
2020,2,Misiones,85762.0
2020,2,Neuquén,74546.0
2020,2,Río Negro,84513.0
2020,2,Salta,101610.0
2020,2,San Juan,74837.0
2020,2,San Luis,34431.0
2020,2,Santa Cruz,27239.0
2020,2,Santa Fe,592374.0
2020,2,Santiago del Estero,66338.0
2020,2,Tierra del Fuego,21573.0
2020,2,Tucumán,181343.0
2020,1,Buenos Aires,3261264.0
2020,1,Capital Federal,1456196.0
2020,1,Catamarca,29743.0
2020,1,Chaco,84041.0
2020,1,Chubut,78692.0
2020,1,Córdoba,574075.0
2020,1,Corrientes,87649.0
2020,1,Entre Ríos,186835.0
2020,1,Formosa,34562.0
2020,1,Jujuy,47985.0
2020,1,La Pampa,70733.0
2020,1,La Rioja,27079.0
2020,1,Mendoza,210725.0
2020,1,Misiones,90832.0
2020,1,Neuquén,77487.0
2020,1,Río Negro,88260.0
2020,1,Salta,107506.0
2020,1,San Juan,78502.0
2020,1,San Luis,36334.0
2020,1,Santa Cruz,29360.0
