Año,Trimestre,Ingresos (miles de $)
2014,1,2916071.75
2014,2,2974865.2
2014,3,3105462.02
2014,4,3339690.9
2015,1,3260124.75
2015,2,3425518.48
2015,3,3590883.18
2015,4,3815364.12
2016,1,4198260.39
2016,2,4718769.82
2016,3,4951967.66
2016,4,4964596.39
2017,1,6375681.76
2017,2,6970617.22
2017,3,6667943.53
2017,4,5514336.19
2018,1,8252279.99
2018,2,7911723.07
2018,3,10111350.57
2018,4,8997157.88
2019,1,12238568.39
2019,2,14181055.21
2019,3,13404569.15
2019,4,20321577.16
2020,1,17067597.82
2020,2,21035522.89
2020,3,18162023.89
2020,4,19750303.98
2021,1,21378667.68
2021,2,22178751.89
2021,3,20789995.21
2021,4,40616059.17
2022,1,24881132.36
