Año,Trimestre,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos
2013,1,7761349.0,57147608.0,64908957.0
2013,2,7769110.0,58004822.0,65773932.0
2013,3,8002183.0,59048909.0,67051092.0
2013,4,8674516.0,58894516.0,67569032.0
2014,1,8224482.0,54725089.0,62949571.0
2014,2,7953775.0,53009865.0,60963640.0
2014,3,8214424.0,53102043.0,61316467.0
2014,4,8027505.0,53093330.0,61120835.0
2015,1,7747230.0,52474633.0,60221863.0
2015,2,7633527.0,52241939.0,59875466.0
2015,3,7600799.0,53131712.0,60732511.0
2015,4,7594526.0,54247485.0,61842011.0
2016,1,7483126.0,54003635.0,61486761.0
2016,2,7565115.0,54557406.0,62122521.0
2016,3,7520789.0,56058550.0,63579339.0
2016,4,7637635.0,56082170.0,63719805.0
2017,1,7502772.0,55523350.0,63026122.0
2017,2,7415230.0,55483528.0,62898758.0
2017,3,7272585.0,54958224.0,62230809.0
2017,4,7108228.0,54789151.0,61897379.0
2018,1,7101698.0,53470098.0,60571796.0
2018,2,6637444.0,52828949.0,59466393.0
2018,3,6551391.0,52289745.0,58841136.0
2018,4,6488017.0,52110024.0,58598041.0
2019,1,6645995.0,51960447.0,58606442.0
2019,2,5924037.0,51672054.0,57596091.0
2019,3,5974898.0,50300828.0,56275726.0
2019,4,5797378.0,50133536.0,55930914.0
2020,1,5743132.0,49869048.0,55612810.0
2020,2,5659667.0,49391056.0,55050723.0
2020,3,5559724.0,49060162.0,54619886.0
2020,4,5556299.0,49207602.0,54763900.0
2021,1,6041047.0,50411986.0,56453033.0
2021,2,6046091.0,50829471.0,56875562.0
2021,3,6104479.0,51708030.0,57812509.0
2021,4,6186994.0,52878833.0,59065827.0
2022,1,6185039.0,53217542.0,59402581.0
