Año,Mes,Personal,Claro,Movistar
2012,3,-17.0,19.0,-2.0
2012,4,3508.0,-1134.0,-2185.0
2012,5,1253.0,4792.0,-5192.0
2012,6,3263.0,-1248.0,-1167.0
2012,7,5554.0,-3847.0,-602.0
2012,8,3131.0,-1622.0,-244.0
2012,9,3701.0,568.0,-2632.0
2012,10,3894.0,1870.0,-3996.0
2012,11,2358.0,1124.0,-2156.0
2012,12,671.0,2452.0,-1645.0
2013,1,1186.0,3149.0,-3068.0
2013,2,-142.0,1282.0,-334.0
2013,3,173.0,778.0,91.0
2013,4,-1637.0,3847.0,-662.0
2013,5,-2078.0,3972.0,-467.0
2013,6,-1442.0,2990.0,-386.0
2013,7,-2748.0,5868.0,-1425.0
2013,8,-4255.0,6698.0,-992.0
2013,9,-1032.0,6026.0,-3159.0
2013,10,-335.0,4638.0,-2736.0
2013,11,-715.0,4705.0,-2608.0
2013,12,2319.0,3903.0,-4889.0
2014,1,-200.0,6135.0,-4845.0
2014,2,-2152.0,8757.0,-5531.0
2014,3,-2314.0,10604.0,-7038.0
2014,4,3252.0,7131.0,-8832.0
2014,5,-846.0,8606.0,-6099.0
2014,6,-8059.0,18958.0,-8578.0
2014,7,-8914.0,16039.0,-5133.0
2014,8,-5095.0,16506.0,-9552.0
2014,9,-807.0,11581.0,-8756.0
2014,10,5607.0,8777.0,-12333.0
2014,11,-1780.0,11769.0,-8754.0
2014,12,4643.0,12160.0,-15453.0
2015,1,3041.0,15835.0,-17411.0
2015,2,-3283.0,20246.0,-15867.0
2015,3,-3860.0,22138.0,-16967.0
2015,4,-8856.0,33859.0,-23429.0
2015,5,-7273.0,35342.0,-26685.0
2015,6,340.0,38116.0,-36320.0
2015,7,-5374.0,34587.0,-27238.0
2015,8,-5840.0,30912.0,-23184.0
2015,9,-15094.0,37873.0,-20858.0
2015,10,-14975.0,29740.0,-12579.0
2015,11,-8894.0,12088.0,-1141.0
2015,12,1467.0,11232.0,-10782.0
2016,1,-941.0,9045.0,-6497.0
2016,2,-3112.0,8746.0,-3791.0
2016,3,-5977.0,2649.0,5771.0
2016,4,-11871.0,7300.0,7527.0
2016,5,-10221.0,4389.0,8846.0
2016,6,-6568.0,-243.0,10307.0
2016,7,-7617.0,936.0,10553.0
2016,8,-7011.0,1891.0,9817.0
2016,9,4031.0,7003.0,-6713.0
2016,10,2337.0,10836.0,-8209.0
2016,11,-402.0,1645.0,3339.0
2016,12,-453.0,5814.0,-966.0
2017,1,-44.0,10231.0,-6793.0
2017,2,-7817.0,7210.0,2976.0
2017,3,-15904.0,6519.0,12186.0
2017,4,-18668.0,2704.0,18504.0
2017,5,-18568.0,1028.0,20545.0
2017,6,-12652.0,-7104.0,22815.0
2017,7,-15445.0,-4709.0,22974.0
2017,8,-11738.0,-5405.0,20390.0
2017,9,-9133.0,-8596.0,20209.0
2017,10,-4870.0,-8320.0,16024.0
2017,11,-1265.0,-8424.0,12190.0
2017,12,-1743.0,-5784.0,9568.0
2018,1,156.0,1868.0,-2024.0
2018,2,1463.0,310.0,-1773.0
2018,3,-1849.0,4674.0,-2825.0
2018,4,3344.0,1259.0,-4603.0
2018,5,13904.0,-2548.0,-11356.0
2018,6,17019.0,-5019.0,-12000.0
2018,7,13149.0,-6045.0,-7104.0
2018,8,8202.0,-2546.0,-5656.0
2018,9,7798.0,-3796.0,-4002.0
2018,10,6195.0,-1349.0,-4846.0
2018,11,18313.0,-4153.0,-14160.0
2018,12,11317.0,-420.0,-10897.0
2019,1,20086.0,10198.0,-30284.0
2019,2,22486.0,2526.0,-25012.0
2019,3,22687.0,-5927.0,-16760.0
2019,4,31071.0,-23337.0,-7734.0
2019,5,13847.0,-36064.0,22217.0
2019,6,892.0,-42345.0,41453.0
2019,7,-13083.0,-27082.0,40165.0
2019,8,740.0,-12386.0,11646.0
2019,9,39279.0,-37923.0,-1356.0
2019,10,40098.0,-20858.0,-19240.0
2019,11,41931.0,-3890.0,-38041.0
2019,12,37242.0,26325.0,-63567.0
2020,1,9681.0,36449.0,-46130.0
2020,2,11049.0,19569.0,-30618.0
2020,3,13983.0,22278.0,-36261.0
2020,4,-3258.0,20440.0,-17182.0
2020,5,-9631.0,23830.0,-14199.0
2020,6,7328.0,10419.0,-17747.0
2020,7,-3189.0,8284.0,-5095.0
2020,8,14229.0,-23597.0,9368.0
2020,9,26117.0,-32870.0,6753.0
2020,10,14078.0,-29907.0,15829.0
2020,11,4652.0,-18960.0,14308.0
2020,12,1713.0,-19008.0,17295.0
2021,1,6755.0,7394.0,-14149.0
2021,2,-10571.0,9235.0,1336.0
2021,3,2881.0,6419.0,-9300.0
2021,4,1218.0,7828.0,-9046.0
2021,5,10855.0,-1128.0,-9727.0
2021,6,4161.0,7679.0,-11840.0
2021,7,-1825.0,13683.0,-11858.0
2021,8,-5993.0,1369.0,4624.0
2021,9,-248.0,13448.0,-13200.0
2021,10,3093.0,10566.0,-13659.0
2021,11,6372.0,12306.0,-18678.0
2021,12,591.0,9875.0,-10466.0
2022,1,15316.0,-5775.0,-9541.0
2022,2,8433.0,7222.0,-15655.0
